shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_3592,34.817909,-118.882614,355,65657.86551648
p_3592,34.817963,-118.882805,356,65676.33841845
p_3592,34.817989,-118.883003,357,65694.68160673
p_3592,34.818001,-118.883179,358,65710.83875569
p_3592,34.817993,-118.883301,359,65722.03574423
p_3592,34.817978,-118.883415,360,65732.5975018
p_3592,34.817928,-118.883606,361,65750.93130227
p_3592,34.817799,-118.884056,362,65794.51813091
p_3592,34.817772,-118.884361,363,65822.58290346
p_3592,34.817764,-118.884628,364,65847.02687529
p_3592,34.81776,-118.884766,365,65859.66030494
p_3592,34.817635,-118.884766,366,65873.52745998
p_3592,34.817562,-118.884773,367,65881.65116196
p_3592,34.815575,-118.88485,368,66102.19596251
p_3592,34.815323,-118.884865,369,66130.18580228
p_3592,34.815125,-118.88488,370,66152.19419827
p_3592,34.814934,-118.884941,371,66174.10589222
p_3592,34.814732,-118.885025,372,66197.79646541
p_3592,34.814537,-118.885139,373,66221.81242583
p_3592,34.814308,-118.885269,374,66249.8635623
p_3592,34.81403,-118.885406,375,66283.15405636
p_3592,34.813747,-118.885521,376,66316.26552278
p_3592,34.813484,-118.885605,377,66346.4372712
p_3592,34.813198,-118.885666,378,66378.65244602
p_3592,34.812908,-118.885712,379,66411.09835449
p_3592,34.812641,-118.885735,380,66440.79323416
p_3592,34.812355,-118.885735,381,66472.52125773
p_3592,34.812057,-118.885704,382,66505.70197885
p_3592,34.811752,-118.885651,383,66539.8835384
p_3592,34.811459,-118.885574,384,66573.14287329
p_3592,34.80941,-118.884842,385,66810.11496636
p_3592,34.809155,-118.884743,386,66839.81884779
p_3592,34.808903,-118.884628,387,66869.68971044
p_3592,34.808624,-118.884483,388,66903.36490395
p_3592,34.808331,-118.884308,389,66939.59953863
p_3592,34.808041,-118.884094,390,66977.26175794
p_3592,34.807758,-118.883873,391,67014.60577856
p_3592,34.80751,-118.883644,392,67049.18891324
p_3592,34.807217,-118.883331,393,67092.51091371
p_3592,34.806934,-118.883003,394,67135.94379755
p_3592,34.805,-118.880447,395,67453.32913158
p_3592,34.80463,-118.879974,396,67512.97916644
p_3592,34.803848,-118.87896,397,67640.00396701
p_3592,34.803314,-118.878365,398,67720.46376375
p_3592,34.802982,-118.877991,399,67770.74064765
p_3592,34.802532,-118.877457,400,67840.59704253
p_3592,34.801262,-118.875908,401,68040.45126492
p_3592,34.801067,-118.875694,402,68069.63105559
p_3592,34.800877,-118.875526,403,68095.71986419
p_3592,34.800674,-118.875381,404,68121.85834124
p_3592,34.800468,-118.875267,405,68146.97979304
p_3592,34.800259,-118.875183,406,68171.40659712
p_3592,34.800068,-118.87513,407,68193.14352966
p_3592,34.799877,-118.875092,408,68214.61592488
p_3592,34.798164,-118.87487,409,68405.73364225
p_3592,34.797913,-118.874825,410,68433.88166164
p_3592,34.797699,-118.874771,411,68458.13101037
p_3592,34.797489,-118.87468,412,68482.87141523
p_3592,34.797253,-118.874542,413,68511.93918483
p_3592,34.797054,-118.874397,414,68537.6966137
p_3592,34.796856,-118.874214,415,68565.31801265
p_3592,34.796684,-118.874031,416,68590.7059959
p_3592,34.796532,-118.87381,417,68617.03791875
p_3592,34.796379,-118.873573,418,68644.57871461
p_3592,34.796265,-118.873314,419,68671.44374492
p_3592,34.796169,-118.873047,420,68698.09805066
p_3592,34.796093,-118.872772,421,68724.63915875
p_3592,34.79604,-118.872459,422,68753.88028919
p_3592,34.796005,-118.872147,423,68782.69549433
p_3592,34.795982,-118.868835,424,69085.8011308
p_3592,34.795967,-118.865913,425,69353.21074431
p_3592,34.795948,-118.86528,426,69411.17756733
p_3592,34.79591,-118.864624,427,69471.3587326
p_3592,34.795853,-118.864006,428,69528.2669655
p_3592,34.795597,-118.861824,429,69729.96095992
p_3592,34.795055,-118.857193,430,70158.01053675
p_3592,34.795002,-118.856827,431,70192.01725232
p_3592,34.794922,-118.856461,432,70226.66769051
p_3592,34.794811,-118.856117,433,70260.47163243
p_3592,34.794685,-118.855812,434,70291.68827288
p_3592,34.793835,-118.853989,435,70483.32675747
p_3592,34.793732,-118.853691,436,70512.89572426
p_3592,34.793663,-118.853424,437,70538.50159612
p_3592,34.793613,-118.853226,438,70557.45188351
p_3592,34.793602,-118.853035,439,70574.97413611
p_3592,34.793587,-118.852692,440,70606.40847822
p_3592,34.793571,-118.852333,441,70639.31093181
p_3592,34.793568,-118.852196,442,70651.85315497
p_3592,34.793644,-118.852196,443,70660.28435179
p_3592,34.793716,-118.852203,444,70668.29745002
p_3592,34.793884,-118.852219,445,70686.99226534
p_3592,34.794151,-118.852234,446,70716.64418591
p_3592,34.79425,-118.852264,447,70727.96489066
p_3592,34.794651,-118.852371,448,70773.5155367
p_3592,34.794571,-118.851067,449,70893.18154861
p_3592,34.794476,-118.849701,450,71018.63556715
p_3592,34.794422,-118.849022,451,71081.06293623
p_3592,34.794231,-118.846863,452,71279.77889276
p_3592,34.793739,-118.843086,453,71629.71901349
p_3592,34.793293,-118.839325,454,71977.45208075
p_3592,34.793221,-118.838783,455,72027.69338672
p_3592,34.793133,-118.838272,456,72075.46681955
p_3592,34.793011,-118.837715,457,72128.20813576
p_3592,34.792873,-118.837227,458,72175.41977783
p_3592,34.792713,-118.836723,459,72224.84210643
p_3592,34.792526,-118.836197,460,72277.26031725
p_3592,34.792305,-118.835686,461,72330.06297408
p_3592,34.792088,-118.835236,462,72377.7660525
p_3592,34.791832,-118.834763,463,72429.53889069
p_3592,34.791565,-118.834312,464,72480.34222797
p_3592,34.791279,-118.833893,465,72530.11288527
